sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,no_sale_com,no_sale_prod,onix_annoucement_date,onix_availabilitycode,onix_browse_inside,onix_category,onix_contributors_key,onix_contributors_list,onix_contributor_author,onix_contributor_editor,onix_contributor_forwardby,onix_contributor_inhouseeditor,onix_contributor_translator,onix_ean13,onix_ebook_amazon,onix_ebook_apple,onix_ebook_google,onix_ebook_kobo,onix_ebook_nook,onix_format,onix_format_description,onix_height,onix_illustrations,onix_imprint,onix_news_reviews,onix_numberofpages,onix_onsaledate,onix_oos_message,onix_packquantity,onix_product_family,onix_publicationdate,onix_raw_availabilitycode,onix_sortdate,onix_sorttitle,onix_subtitle,onix_suppliername,onix_width,options_container,package_id,page_layout,price,required_options,roost_free_projects,shambhala_extras,shambhala_product_message,sham_topic,shipping_qty,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,subtitle,sub_title,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,volume_weight,weight,zen_about_artist,zen_artist_firstname,zen_artist_lastname,zen_artist_life,zen_dimensions,zen_display_description,zen_forsale,zen_purchase_ref,zen_scroll_notes,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,Formats/Audiobooks,Shambhala Catalog,base_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,/9/7/9781590309773-2.png,,2,0
,,,,Authors/A-F/Thomas Cleary,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Authors/G-N/Miyamoto Musashi,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Formats/Audiobooks/MP3s,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9781611801156,,Default,downloadable,Books,Shambhala Catalog,base,,,,2013-02-14 00:16:09,,,,,"<p>Ursula K. Le Guin, a student of the <i>Tao Te Ching</i> for more than fifty years, offers her own thoughtful rendering of the Taoist scripture. She has consulted the literal translations and worked with the scholar J. P. Seaton to develop a version that lets the ancient text speak in a fresh way to modern people, while remaining faithful to the original Chinese. This rendition reveals the <i>Tao Te Ching&rsquo;</i>s immediate relevance and power, its depth and refreshing humor, illustrating better than ever before why it has been so loved for more than 2,500 years. This audio edition is read by Le Guin herself, with original music composed and performed by Todd Barton.  </p><p>1 &frac12; hours</p>",,,1,/l/a/lao-tzu_-tao-te-ching_9781611801156.png,,,,,,,,,Use config,Use config,Lao Tzu: Tao Te Ching,,,,No,,Available,,PHILOSOPHY / Taoist,Tzu|Guin|,"<dt>By</dt><dd>Lao Tzu</dd>
<dt>By</dt><dd>Ursula K. Le Guin</dd>
",<li>Lao Tzu</li><li>Ursula K. Le Guin</li>,,,,,9781611801156,,,,,,MP3,,,,Shambhala Audio,"<p>&quot;Reading [Le Guin&rsquo;s] translations is like taking a shared walk down a familiar trail where we discover rocks and water that we somehow missed before . . . undeniably refreshing, capturing a language that is casual and clear, reflective and pointed, full of the wise humor of the Way.&quot;&mdash;<i>Parabola</i></p><p>&quot;A student of the Tao for several decades, Le Guin has created an English text that will speak to modern readers in a fresh and lively way, while conveying the humor, insight, and beauty of the original.&quot;&mdash;<i>Shambhala Sun</i></p><p>&quot;The <i>Tao Te Ching</i> was written about 2,500 years ago yet its wisdom remains pure and inspiring.&quot;&mdash;<i>Light of Consciousness   </i></p><p>&quot;Ursula K. Le Guin&rsquo;s translation of the <i>Tao Te Ching</i> is a personal and poetic meditation. Through her own careful study of these ancient teachings, she brings the Way into contemporary life. Each day, I open this book at random and receive a contemplative gift. These words are akin to water in the desert.&quot;&mdash;Terry Tempest Williams, author of <i>Refuge</i></p>",,10/13/2009,OUT OF STOCK: Available for back-order.,,2097,,20,20091013,Lao Tzu: Tao Te Ching,A Book about the Way and the Power of the Way,,,Block after Info Column,,,8.95,0,,,"<p><span style=""text-decoration: underline;""><span style=""font-size: small;""><a href=""http://www.shambhala.com/media/wysiwyg/audio_samples/Lao%20Tzu%20Tao%20Te%20Ching%20[Le%20Guin]_Sample.mp3"" target=""_blank""><img src=""http://www.shambhala.com/media/wysiwyg/audioicon.gif"" alt="""" /> Listen to an audio sample.</a></span></span></p>",,,This is a short description,no_selection,,,,,1,,,2,/l/a/lao-tzu_-tao-te-ching_9781611801156-2.png,,2016-03-04 16:30:49,lao-tzu-tao-te-ching,lao-tzu-tao-te-ching-2952.html,4,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,82,/l/a/lao-tzu_-tao-te-ching_9781611801156-2.png,,3,0
,,,,Formats/Audiobooks,Shambhala Catalog,base_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,/l/a/lao-tzu_-tao-te-ching_9781611801156.png,,4,0
,,,,Authors/G-N/Ursula K. Le Guin,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Authors/G-N/Lao Tzu,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Formats/Audiobooks/MP3s,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9781590309797,,Default,downloadable,Formats/Audiobooks,Shambhala Catalog,base,,,,2013-02-14 00:16:26,,,,,"<p>For thousands of years yoga practitioners have tapped into the power of <i>pranayama,</i> a method of focused breathing to rejuvenate the body and mind, and to bring about spiritual transformation. Here Richard Rosen presents an in-depth program on pranayama designed for beginners as well as for those with an existing practice who are looking to build upon their experience and refine their technique. He offers easy-to-follow, guided breathing instructions and then goes on to lead pranayama routines that create an ideal structure for pranayama practice at home. The program includes:<br>instruction on <i>ujjayi, violma,</i> and <i>bhramari</i> breaths that form the foundation of pranayama<br>more advanced breathing techniques like ratio breathing, digital pranayama, and inner and outer retention<br>eight different guided pranayama routines<br>twelve guided meditations with visualizations in <i>shavasana </i><br>and much more</p><p>8 hours</p>",,,0,no_selection,,,,,,,,,Use config,Use config,The Practice of Pranayama,,,,No,,Not yet published,,,Rosen|,"<dt>By</dt><dd>Richard Rosen</dd>
",<li>Richard Rosen</li>,,,,,9781590309797,,,,,,MP3,,,,Shambhala Audio,"<p>&quot;Rosen gives listeners a solid foundation for the practice of pranayama.  He subtly fosters the essential actions that nourish a lifelong practice.  Even longtime practitioners are likely to discover fresh insights by following these artfully guided pranayama practices and meditations. &quot;&mdash;<i>Yoga Journal</i></p><p>&quot;A highly recommended program, an invaluable aid for meditation and hatha yoga practice. &quot;&mdash;<i>Light of Consciousness  </i></p>",,07/20/2010,OUT OF STOCK: Please contact us for availability,,3060,,10,20100720,Practice of Pranayama,An In-Depth Guide to the Yoga of Breath,,,Block after Info Column,,,26.95,0,,,,,,This is a short description,no_selection,,,,,1,,,5,no_selection,,2016-09-02 16:30:33,the-practice-of-pranayama,the-practice-of-pranayama-2954.html,4,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Authors/O-T/Richard Rosen,Shambhala Catalog,base_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Formats/Audiobooks/MP3s,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
